"id_pessoa","nome","nome_ref"
440,"Patrícia A. Jaques","Jaques, P. A."
441,"Patricia I. Nakagawa","Nakagawa, P. I."
442,"Patrícia Rucker de Bassi","Bassi, P. R."
443,"Patricia Tavares","Tavares, P."
444,"Patrick Ücker Calvetti","Calvetti, P. Üc."
445,"Paulo Afonso Parreira Júnior","Júnior, P. A. P."
446,"Paulo Lício de Geus","Geus, P. L."
447,"Paulo Melo","Melo, P."
448,"Paulo R. G. Luzzardi","Luzzardi, P. R. G."
449,"Paulo Ricardo Baptista Betencourt","Betencourt, P. R. B."
450,"Paulo Simões Júnior","Júnior, P. S."
451,"Pedro Henrique Batista Ruas da Silveira","Silveira, P. H. B. R."
452,"Pedro Luiz Pizzigatti Correa","Correa, P. L. P."
453,"Pedro Porfírio M. Farias","Farias, P. P. M."
454,"Pedro Silva","Silva, P."
455,"Philippe Palanque","Palanque, P."
456,"Phillipe Marcel M. Ramalho","Ramalho, P. M. M."
457,"Plínio Thomaz Aquino Junior","Junior, P. T. A."
458,"Pollyanna Gonçalves","Gonçalves, P."
459,"Priscila G. Souza","Souza, P. G."
460,"Priscilla Braz","Braz, P."
461,"Rafael Brandão","Brandão, R."
462,"Rafael Godoi Orbolato","Orbolato, R. G."
463,"Rafael Jeferson Pezzuto Damaceno","Damaceno, R. J. P."
464,"Rafael Llamas C.","C., R. L."
465,"Rafael Santos","Santos, R."
466,"Rafael Testa","Testa, R."
467,"Rafael Xavier Esteves de Almeida","Almeida, R. X. E."
468,"Raquel Lara dos Santos","Santos, R. L. d."
469,"Raquel Oliveira Prates","Prates, R. O."
470,"Raqueline Ritter de Moura Penteado","Penteado, R. R. M."
471,"Reinildes Dias","Dias, R."
472,"Renata Germano Bianchi","Bianchi, R. G."
473,"Renata Pontin de Mattos Fortes","Fortes, R. P. M."
474,"Renato Cerqueira","Cerqueira, R."
475,"Renato Novais","Novais, R."
476,"Rener Baffa da Silva","Silva, R. B."
477,"Ricardo A. Cava","Cava, R. A."
478,"Ricardo Luís Lachi","Lachi, R. L."
479,"Ricardo Muneo Kayo","Kayo, R. M."
